Folder,Controller,Start_Modality,Task_1,Task_2,Task_3,Task_4,Task_5
ARAH22-RW-WITH-VR-TRIAL-1-ROSBAG,WBC,NO-VR,93.73371887207033,199.88668823242188,203.37466430664065,253.87905883789065,280.311279296875
ARAH22-RW-WITH-VR-TRIAL-2-ROSBAG,WBC,NO-VR,135.3615264892578,291.738525390625,337.3548889160156,353.8029479980469,381.6993713378906
ARAH22-RW-WITH-VR-TRIAL-3-ROSBAG,WBC,NO-VR,86.24789428710938,167.92849731445312,216.87271118164065,287.52117919921875,325.593505859375
BTHH23-RW-NO-VR-TRIAL-1-ROSBAG,WBC,NO-VR,160.0,410.0,421.1256103515625,474.5499267578125,511.9264221191406
BTHH23-RW-NO-VR-TRIAL-3-ROSBAG,WBC,NO-VR,77.12586975097656,182.49468994140625,229.6709747314453,261.47119140625,297.9916076660156
BTHH23-RW-WITH-VR-TRIAL-1-ROSBAG,WBC,NO-VR,143.95753479003906,293.9661865234375,394.4869689941406,464.8153991699219,535.6478881835938
BTHH23-RW-WITH-VR-TRIAL-3-ROSBAG,WBC,NO-VR,100.95542907714844,223.40444946289065,302.76495361328125,430.4458923339844,518.8145751953125
BTHH23-RW-NO-VR-TRIAL-2-ROSBAG,WBC,NO-VR,76.45696258544922,161.5533447265625,203.8258056640625,235.9620056152344,281.5623779296875
BTHH23-RW-WITH-VR-TRIAL-2-ROSBAG,WBC,NO-VR,138.6673126220703,275.3002624511719,356.0928039550781,591.222900390625,639.6629638671875
ELBH19-RW-NO-VR-TRIAL-1-ROSBAG,WBC,NO-VR,177.1903076171875,406.0237731933594,442.5359802246094,505.0242919921875,597.288818359375
ELBH19-RW-WITH-VR-TRIAL-2-ROSBAG,WBC,NO-VR,306.9899597167969,561.8634033203125,688.3441162109375,897.3611450195312,949.4094848632812
ELBH19-RW-NO-VR-TRIAL-2-ROSBAG,WBC,NO-VR,93.3156509399414,167.9403839111328,239.42840576171875,256.3726806640625,287.0448303222656
ELBH19-RW-WITH-VR-TRIAL-3-ROSBAG,WBC,NO-VR,209.3201904296875,342.6328430175781,438.6096801757812,523.7698364257812,577.0263061523438
