,Time,data,data_numeric
478,1732617581.2916913,Head Camera,2
479,1732617581.3507302,Head Camera,2
480,1732617581.871418,Head Camera,2
481,1732617581.929576,Head Camera,2
482,1732617582.0042434,Head Camera,2
483,1732617582.128612,Head Camera,2
484,1732617582.4136755,Head Camera,2
485,1732617582.6643794,Head Camera,2
486,1732617582.7618015,Head Camera,2
487,1732617582.8433845,Head Camera,2
488,1732617582.9208877,Head Camera,2
489,1732617582.970571,Head Camera,2
490,1732617583.3552656,Head Camera,2
491,1732617583.4904776,Head Camera,2
492,1732617583.68086,Head Camera,2
493,1732617583.7403274,Head Camera,2
494,1732617583.795764,Head Camera,2
495,1732617584.3005483,Head Camera,2
496,1732617584.42952,Head Camera,2
497,1732617584.5120623,Head Camera,2
498,1732617584.5617604,Head Camera,2
499,1732617584.6207974,Head Camera,2
500,1732617585.067167,Head Camera,2
501,1732617585.1718502,Head Camera,2
502,1732617585.224424,Head Camera,2
503,1732617585.3019805,Head Camera,2
504,1732617585.3704486,Head Camera,2
505,1732617585.7428188,Head Camera,2
506,1732617585.9174109,Head Camera,2
507,1732617585.9947624,Head Camera,2
508,1732617586.099064,Head Camera,2
509,1732617586.1772327,Head Camera,2
510,1732617586.577297,Head Camera,2
511,1732617586.700108,Head Camera,2
512,1732617586.922869,Head Camera,2
513,1732617587.044521,Head Camera,2
514,1732617587.203315,Head Camera,2
515,1732617587.457115,Head Camera,2
516,1732617587.5701308,Head Camera,2
517,1732617587.6273022,Head Camera,2
518,1732617587.6923792,Head Camera,2
519,1732617587.7840705,Head Camera,2
520,1732617588.3511453,Head Camera,2
521,1732617588.4110448,Head Camera,2
522,1732617588.4712985,Head Camera,2
523,1732617588.5307362,Head Camera,2
524,1732617588.6050532,Head Camera,2
525,1732617589.0379157,Head Camera,2
526,1732617589.1357994,Head Camera,2
527,1732617589.205979,Head Camera,2
528,1732617589.3694966,Head Camera,2
529,1732617589.5785837,Head Camera,2
530,1732617589.8018854,Head Camera,2
531,1732617589.916622,Head Camera,2
532,1732617590.1086073,Head Camera,2
533,1732617590.206987,Head Camera,2
534,1732617590.3708994,Head Camera,2
535,1732617590.6005323,Head Camera,2
536,1732617590.711073,Head Camera,2
537,1732617590.9031427,Head Camera,2
538,1732617591.01695,Head Camera,2
539,1732617591.2333665,Head Camera,2
540,1732617591.5114622,Head Camera,2
541,1732617591.665951,Head Camera,2
542,1732617591.8984942,Head Camera,2
543,1732617592.010367,Head Camera,2
544,1732617592.086288,Head Camera,2
545,1732617592.4206576,Head Camera,2
546,1732617592.5495012,Head Camera,2
547,1732617592.633943,Head Camera,2
548,1732617592.6939824,Head Camera,2
549,1732617592.806541,Head Camera,2
550,1732617593.1261888,Head Camera,2
551,1732617593.2639568,Head Camera,2
552,1732617593.341189,Head Camera,2
553,1732617593.4297447,Head Camera,2
554,1732617593.5705929,Head Camera,2
555,1732617593.961952,Head Camera,2
556,1732617594.0737984,Head Camera,2
557,1732617594.1481254,Head Camera,2
558,1732617594.2082164,Head Camera,2
559,1732617594.2864168,Head Camera,2
560,1732617594.9712305,Head Camera,2
561,1732617595.0202942,Head Camera,2
562,1732617595.1103525,Head Camera,2
563,1732617595.1388433,Head Camera,2
564,1732617595.3110592,Head Camera,2
565,1732617595.7274263,Head Camera,2
566,1732617595.817572,Head Camera,2
567,1732617595.9100502,Head Camera,2
568,1732617596.050833,Head Camera,2
569,1732617596.219322,Head Camera,2
570,1732617596.5270472,Head Camera,2
571,1732617596.625887,Head Camera,2
572,1732617596.7245388,Head Camera,2
573,1732617596.779682,Head Camera,2
574,1732617596.8438537,Head Camera,2
575,1732617597.2224689,Head Camera,2
576,1732617597.322509,Head Camera,2
577,1732617597.4503922,Head Camera,2
578,1732617597.6135492,Head Camera,2
579,1732617597.8633175,Head Camera,2
580,1732617598.132215,Head Camera,2
581,1732617598.248656,Head Camera,2
582,1732617598.421393,Head Camera,2
583,1732617598.5511768,Head Camera,2
584,1732617598.724563,Head Camera,2
585,1732617598.9777536,Head Camera,2
586,1732617599.106258,Head Camera,2
587,1732617599.257943,Head Camera,2
588,1732617599.528652,Head Camera,2
589,1732617599.6437752,Head Camera,2
590,1732617600.01441,Head Camera,2
591,1732617600.0987134,Head Camera,2
592,1732617600.3068557,Head Camera,2
593,1732617600.3918786,Head Camera,2
594,1732617600.4436817,Head Camera,2
595,1732617601.029225,Head Camera,2
596,1732617601.1157591,Head Camera,2
597,1732617601.1624918,Head Camera,2
598,1732617601.215301,Head Camera,2
599,1732617601.3494208,Head Camera,2
600,1732617601.9066646,Head Camera,2
601,1732617601.9894729,Head Camera,2
602,1732617602.0600688,Head Camera,2
603,1732617602.079833,Head Camera,2
604,1732617602.1607852,Head Camera,2
605,1732617602.5915666,Head Camera,2
606,1732617602.7182746,Head Camera,2
607,1732617602.874727,Head Camera,2
608,1732617602.9637046,Head Camera,2
609,1732617603.079498,Head Camera,2
610,1732617603.5247722,Head Camera,2
611,1732617603.636348,Head Camera,2
612,1732617603.733463,Head Camera,2
613,1732617603.9545972,Head Camera,2
614,1732617604.0038433,Head Camera,2
615,1732617604.450146,Head Camera,2
616,1732617604.5840702,Head Camera,2
617,1732617604.6724083,Head Camera,2
618,1732617604.7413552,Head Camera,2
619,1732617604.8791828,Head Camera,2
620,1732617605.2985537,Head Camera,2
621,1732617605.4776492,Head Camera,2
622,1732617605.5384834,Head Camera,2
623,1732617605.6936042,Head Camera,2
624,1732617605.770131,Head Camera,2
625,1732617606.4694147,Head Camera,2
626,1732617606.5408494,Head Camera,2
627,1732617606.562146,Head Camera,2
628,1732617606.6571493,Head Camera,2
629,1732617606.7340157,Head Camera,2
630,1732617607.376484,Head Camera,2
631,1732617607.4612482,Head Camera,2
632,1732617607.5246646,Head Camera,2
633,1732617607.6126986,Head Camera,2
634,1732617607.7276728,Head Camera,2
635,1732617608.1617577,Head Camera,2
636,1732617608.2614667,Head Camera,2
637,1732617608.3795218,Head Camera,2
638,1732617608.5546565,Head Camera,2
639,1732617608.6322162,Head Camera,2
640,1732617609.2356665,Head Camera,2
641,1732617609.355023,Head Camera,2
642,1732617609.4405758,Head Camera,2
643,1732617609.6601603,Head Camera,2
644,1732617609.8716671,Head Camera,2
645,1732617610.1465578,Head Camera,2
646,1732617610.2624314,Head Camera,2
647,1732617610.4774673,Head Camera,2
648,1732617610.572335,Head Camera,2
649,1732617610.706564,Head Camera,2
650,1732617611.1088364,Head Camera,2
651,1732617611.2518587,Head Camera,2
652,1732617611.342138,Head Camera,2
653,1732617611.4165106,Head Camera,2
654,1732617611.4769735,Head Camera,2
655,1732617612.1779764,Head Camera,2
656,1732617612.3834746,Head Camera,2
657,1732617612.5865307,Head Camera,2
658,1732617612.7058582,Head Camera,2
659,1732617612.8683984,Head Camera,2
660,1732617613.1176505,Head Camera,2
661,1732617613.3110874,Head Camera,2
662,1732617613.5779264,Head Camera,2
663,1732617613.6884732,Head Camera,2
